0.5,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,0.5,3,1,0,1,0,0,0,0,0,1,0,0,122,117,1
0.667,0.5,1,3,1,0,0,0,0,0,1,0,113,104,0,0,0
0.5,0.333,1,3,1,1,0,0,0,0,1,1,113,94,129,100,0
0.5,0.5,2,1,0,1,0,0,0,0,0,1,117,122,130,121,1
0.5,0.667,1,3,0,0,0,0,0,0,0,0,121,130,114,120,0
0.5,0.5,3,1,0,0,0,0,0,0,0,0,91,109,96,108,1
0.5,0.333,2,2,1,1,0,0,0,0,1,1,108,96,107,96,0
0.333,0.5,1,3,0,0,0,0,0,0,0,0,102,107,100,129,0
0.5,0.5,3,1,1,0,0,0,0,0,1,0,103,97,94,113,1
0.667,0.5,1,3,1,1,0,0,0,0,1,1,109,91,117,88,0
0.5,0.5,2,1,0,1,0,0,0,0,0,1,104,113,120,114,1
0.667,0.667,2,2,1,0,0,1,0,0,1,1,105,99,112,112,1
0.5,0.667,2,2,1,0,1,1,0,0,2,1,102,93,110,111,0
0.667,0.667,3,0,1,0,1,0,0,0,2,0,105,89,89,108,1
0.5,0.5,0,4,1,0,0,1,0,0,1,1,107,102,109,109,0
0.333,0.667,3,1,0,1,0,0,0,0,0,1,96,107,110,108,1
0.5,0.5,0,2,0,1,0,0,0,0,0,1,88,117,102,98,1
0.333,0.5,1,3,0,1,0,0,0,0,0,1,97,103,114,99,0
0.333,0.667,3,0,0,0,1,0,0,0,1,0,103,98,98,102,1
0.5,0.5,1,3,1,0,1,0,0,0,2,0,115,97,108,114,1
0.667,0.5,1,3,1,1,0,0,0,0,1,1,99,95,103,107,1
0.5,0.667,3,1,1,0,0,0,0,0,1,0,110,109,109,118,1
