Team,12,2,4,9,13,6,27,19,8,21,29,7,22,25,28,11,10,20,30,3,16,15,5,24,17,23,26,1,18,14
2,1-2,,4-0,2-2,4-0,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,2-0,4-0,2-1,2-0,1-1,3-1,0-2,3-0,3-1,1-1,1-1,1-1,0-2,1-3,2-0,2-2
4,2-2,0-4,,1-3,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,1-1,0-3,0-4,1-1,1-1,2-2,0-2,1-2,1-3,2-0,0-2,1-1,0-2,0-4,0-2,0-4
9,1-3,2-2,3-1,,2-1,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,1-1,2-1,1-3,0-2,2-0,0-3,1-1,3-1,3-1,1-1,1-1,2-0,1-1,2-1,2-0,1-3
13,3-1,0-4,3-1,1-2,,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,1-1,2-2,1-2,1-1,0-2,1-2,2-0,4-0,1-2,1-1,1-1,1-1,0-2,2-2,1-1,1-3
6,1-3,3-1,3-0,0-4,4-0,,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-1,1-3,3-1,2-0,1-1,4-0,1-1,3-0,3-0,2-0,1-1,1-1,0-2,3-1,1-1,2-1
27,0-2,0-2,2-0,2-0,0-2,1-1,,1-3,0-2,0-3,0-4,1-1,2-2,4-0,2-2,1-1,2-0,1-2,2-2,1-1,1-2,1-1,1-1,1-3,2-2,1-2,1-3,0-2,1-3,2-0
19,0-2,2-0,1-1,2-0,0-2,1-1,3-1,,0-2,1-2,0-4,2-0,3-1,2-1,0-3,1-1,2-0,2-2,3-1,2-0,1-3,2-0,1-1,4-0,1-3,2-2,0-3,0-2,2-2,0-2
8,2-1,1-3,1-2,2-2,3-1,2-2,2-0,2-0,,0-2,1-1,0-4,1-1,2-0,1-1,2-2,1-3,2-0,1-1,2-2,1-1,1-3,2-1,1-1,2-0,0-2,0-2,1-3,0-2,1-2
21,2-0,1-1,2-0,1-1,2-0,1-1,3-0,2-1,2-0,,3-1,2-0,4-0,3-1,2-2,1-1,2-0,3-1,4-0,2-0,4-0,2-0,2-0,4-0,4-0,3-1,1-2,2-0,2-1,1-1
29,0-2,1-1,2-0,2-0,2-0,1-1,4-0,4-0,1-1,1-3,,0-2,2-1,2-1,2-2,0-2,1-1,3-1,3-1,2-0,3-1,2-0,2-0,4-0,2-1,4-0,1-3,1-1,1-2,2-0
7,2-1,0-3,3-1,2-2,2-2,1-3,1-1,0-2,4-0,0-2,2-0,,2-0,1-1,1-1,1-2,1-3,1-1,1-1,1-3,2-0,4-0,3-1,1-1,1-1,2-0,0-2,1-2,1-1,1-3
22,2-0,1-1,1-1,2-0,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,,3-1,3-1,2-0,0-2,1-2,2-1,2-0,2-2,2-0,1-1,4-0,3-0,3-1,3-1,1-1,3-1,1-1
25,2-0,0-2,1-1,1-1,0-2,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,,2-1,1-1,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-2,0-4,2-2,1-3,0-2,0-4,0-2
28,1-1,0-2,1-1,1-1,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,,1-1,1-1,3-1,2-2,1-1,1-3,1-1,2-0,3-0,1-2,2-2,2-2,1-1,3-1,1-1
11,2-2,0-4,3-0,1-2,2-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,1-1,,3-1,2-0,1-1,1-2,0-2,1-3,2-2,1-1,0-2,2-0,0-2,1-3,1-1,4-0
10,1-3,1-2,4-0,3-1,2-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-1,1-3,,1-1,1-1,2-1,1-1,2-1,2-2,2-0,2-0,2-0,1-1,1-3,0-2,1-3
20,2-0,0-2,1-1,2-0,1-1,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,1-3,0-2,1-1,,0-3,0-2,1-3,2-0,1-1,3-0,1-3,1-3,0-4,1-1,1-3,1-1
30,1-1,1-1,1-1,0-2,2-0,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,2-2,1-1,1-1,3-0,,2-0,0-4,1-1,1-1,3-1,3-1,1-2,1-3,0-2,0-3,0-2
3,1-3,1-3,2-2,3-0,2-1,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,1-1,2-1,1-2,2-0,0-2,,0-2,3-1,2-2,0-2,1-1,2-0,1-1,0-4,0-2,0-4
16,1-1,2-0,2-0,1-1,0-2,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,3-1,2-0,1-1,3-1,4-0,2-0,,1-1,2-0,2-2,1-3,2-1,1-2,1-1,3-1,1-1
15,2-2,0-3,2-1,1-3,0-4,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,1-1,3-1,1-2,0-2,1-1,1-3,1-1,,3-1,1-1,1-1,1-1,1-1,2-2,0-2,2-2
5,0-4,1-3,3-1,1-3,2-1,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,0-2,2-2,2-2,1-1,1-1,2-2,0-2,1-3,,1-1,1-1,1-1,0-2,1-3,0-2,2-1
24,1-1,1-1,0-2,1-1,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,0-3,1-1,0-2,0-3,1-3,2-0,2-2,1-1,1-1,,1-3,1-3,1-2,2-0,0-3,0-2
17,1-1,1-1,2-0,1-1,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-1,2-0,0-2,3-1,1-3,1-1,3-1,1-1,1-1,3-1,,2-1,2-2,0-2,2-2,0-2
23,1-1,1-1,1-1,0-2,1-1,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,2-2,0-2,0-2,3-1,2-1,0-2,1-2,1-1,1-1,3-1,1-2,,0-4,2-0,1-3,0-2
